feature_label,linear,mlp
vision_mean_layer_-1,0.22986947468171517,0.008174479007720947
vision_mean_layer_12,0.2347232621759176,0.0036783386468887333
lm_visual_lasttok_layer_-1,0.3439654942351367,0.00389707088470459
lm_visual_lasttok_layer_16,0.30445460891211407,0.005926191806793213
lm_visual_mean_layer_-1,0.3439654942351367,0.00389707088470459
lm_visual_mean_layer_16,0.30445460891211407,0.005926191806793213
lm_prompt_lasttok_layer_-1,0.3365105699553258,0.005577683448791504
lm_prompt_lasttok_layer_16,0.32521682742735075,0.009292423725128174
lm_prompt_mean_layer_-1,0.28485251140002055,0.016730407410197788
lm_prompt_mean_layer_16,0.32998735831186377,0.005731821060180664
lm_answer_lasttok_layer_-1,0.3507969724788175,0.0038570165634155273
lm_answer_lasttok_layer_16,0.2766504825382209,0.0037099719047546387
lm_answer_mean_layer_-1,0.463093624160845,0.006793558597564697
lm_answer_mean_layer_16,0.311317464506678,0.0038954615592956543
answer_gen_entropy_max,0.009188711643218994,0.04433673572540283
answer_gen_entropy_mean,0.009305059909820557,0.051121691226959226
answer_gen_entropy_min,0.0024091399378246736,0.015604078769683838
answer_gen_entropy_std,0.009088695049285889,0.024355709552764893
answer_gen_neglogp_mean,0.009258954405784607,0.023105263710021973
answer_gen_neglogp_std,0.009179755767186482,0.013652920722961426
answer_gen_negp_max,0.009166479110717773,0.025796830654144287
answer_gen_negp_mean,0.009247134215301938,0.02719932794570923
answer_gen_negp_min,0.005262315273284912,0.007012128829956055
answer_gen_negp_std,0.009119749069213867,0.014500677585601807
