feature_label,linear,mlp
vision_mean_layer_-1,0.7280981105638915,0.7515456159756193
vision_mean_layer_12,0.6430055283050767,0.6412248240014409
lm_visual_lasttok_layer_-1,0.5246359307785043,0.5394235667346977
lm_visual_lasttok_layer_16,0.5513575453132062,0.60129295817914
lm_visual_mean_layer_-1,0.5246359307785043,0.5394235667346977
lm_visual_mean_layer_16,0.5513575453132062,0.60129295817914
lm_prompt_lasttok_layer_-1,0.8769921732990489,0.9553503451461304
lm_prompt_lasttok_layer_16,0.8885603975340864,0.9601084666053024
lm_prompt_mean_layer_-1,0.6822467703670473,0.7548683450113207
lm_prompt_mean_layer_16,0.6766068604906854,0.7484085266066947
lm_answer_lasttok_layer_-1,0.8642703311347555,0.9578244357051379
lm_answer_lasttok_layer_16,0.7861723863205665,0.8844569873997077
lm_answer_mean_layer_-1,0.7885812819965987,0.9725728442317447
lm_answer_mean_layer_16,0.822177089192125,0.9752679343940578
answer_gen_entropy_max,0.9134112504268055,0.9134112504268055
answer_gen_entropy_mean,0.9144842035008547,0.9144842035008547
answer_gen_entropy_min,0.6131241719421113,0.6549488993667256
answer_gen_entropy_std,0.912020057923996,0.9120200579239961
answer_gen_neglogp_mean,0.9165505497917632,0.9165505497917632
answer_gen_neglogp_std,0.9157881011603585,0.9157881011603585
answer_gen_negp_max,0.916215735392755,0.916215735392755
answer_gen_negp_mean,0.9165615997719283,0.9165615997719283
answer_gen_negp_min,0.6084400853500467,0.6476675149368107
answer_gen_negp_std,0.9157648962020113,0.9157648962020113
