feature_label,linear,mlp
vision_mean_layer_-1,0.731952276524645,0.7610826956710282
vision_mean_layer_12,0.5867210996240602,0.6398481038683992
lm_visual_lasttok_layer_-1,0.6194081558061821,0.657524397807348
lm_visual_lasttok_layer_16,0.5022374947786132,0.5200916135937332
lm_visual_mean_layer_-1,0.6444410505430243,0.7320014068708629
lm_visual_mean_layer_16,0.6461434837092732,0.7513184848272161
lm_answer_lasttok_layer_-1,0.7299267700501252,0.9237216117751333
lm_answer_lasttok_layer_16,0.8231259137426902,0.9292915627668704
lm_answer_mean_layer_-1,0.6889964494569758,0.9099444792190405
lm_answer_mean_layer_16,0.8319030649540518,0.9366639365927059
answer_gen_entropy_max,0.7950539108187135,0.7953548213375762
answer_gen_entropy_mean,0.7602471021303259,0.7605080233647019
answer_gen_entropy_min,0.5554080513784461,0.5724285403793072
answer_gen_entropy_std,0.8112902046783625,0.8115720607761951
answer_gen_neglogp_mean,0.755327642021721,0.7557166522422396
answer_gen_neglogp_std,0.7789148652882205,0.7792046378729531
answer_gen_negp_max,0.7688244047619047,0.7691941202608452
answer_gen_negp_mean,0.7493034670008354,0.7496727433642635
answer_gen_negp_min,0.5436429615705931,0.5574454439640361
answer_gen_negp_std,0.7807807278613199,0.7810820746857436
lm_fullspan_lasttok_layer_-1,0.8142170530492899,0.8896569548872181
lm_fullspan_lasttok_layer_16,0.8400516917293233,0.8892816677109441
lm_fullspan_mean_layer_-1,0.6429423819966583,0.7439223057644111
lm_fullspan_mean_layer_16,0.6724146303258145,0.7666431704260652
lm_question_including_lasttok_layer_-1,0.8142170530492899,0.8896569548872181
lm_question_including_lasttok_layer_16,0.8400516917293233,0.8892816677109441
lm_question_including_mean_layer_-1,0.6742448569340016,0.8099599258563075
lm_question_including_mean_layer_16,0.7274460891812864,0.8228002297410193
lm_question_lasttok_layer_-1,0.7401428049289891,0.8356418939633707
lm_question_lasttok_layer_16,0.7102950083542188,0.8004248530834919
lm_question_mean_layer_-1,0.6843718671679198,0.7971393712758822
lm_question_mean_layer_16,0.6951882309941521,0.82214877085356
