feature_label,linear,mlp
vision_mean_layer_-1,0.20089320504334238,0.03292119693424967
vision_mean_layer_12,0.22557512664132645,0.01706459841463301
lm_visual_lasttok_layer_-1,0.2936101946186326,0.0375572323832247
lm_visual_lasttok_layer_16,0.3668306122778707,0.005258081754048665
lm_visual_mean_layer_-1,0.2578907430515521,0.015327536318037245
lm_visual_mean_layer_16,0.285900782832643,0.031802738802300556
lm_answer_lasttok_layer_-1,0.2838433340839111,0.05508021001683341
lm_answer_lasttok_layer_16,0.1641107227457623,0.023330775943067338
lm_answer_mean_layer_-1,0.27396307292824945,0.029995435824410784
lm_answer_mean_layer_16,0.1633914928554247,0.01718707601643271
answer_gen_entropy_max,0.021132475194003845,0.03049353481332461
answer_gen_entropy_mean,0.027170719623565674,0.01423923995759752
answer_gen_entropy_min,0.011622047901153565,0.0017204377386305068
answer_gen_entropy_std,0.02624714828862084,0.022413416114118363
answer_gen_neglogp_mean,0.029172391735845144,0.02730841724408998
answer_gen_neglogp_std,0.026984027723471325,0.022884831696748733
answer_gen_negp_max,0.0388867841495408,0.029356624596648746
answer_gen_negp_mean,0.032311576147874194,0.017445964707268606
answer_gen_negp_min,0.007213101492987739,0.004370275749100579
answer_gen_negp_std,0.030066168122821382,0.01615586821900474
lm_fullspan_lasttok_layer_-1,0.23085879801367665,0.028615702928768267
lm_fullspan_lasttok_layer_16,0.22433329372730162,0.01721536696785026
lm_fullspan_mean_layer_-1,0.2594654813177056,0.010782227860556708
lm_fullspan_mean_layer_16,0.25710312623644455,0.049330223129855265
lm_question_including_lasttok_layer_-1,0.23085879801367665,0.028615702928768267
lm_question_including_lasttok_layer_16,0.22433329372730162,0.01721536696785026
lm_question_including_mean_layer_-1,0.2486588648570598,0.04049610688289007
lm_question_including_mean_layer_16,0.2309909196554476,0.02611209073000484
lm_question_lasttok_layer_-1,0.2354003949199751,0.015226365144054095
lm_question_lasttok_layer_16,0.28215992777846344,0.03247007953458362
lm_question_mean_layer_-1,0.23554963027925177,0.026462210946612885
lm_question_mean_layer_16,0.2391170014041709,0.026822215676307676
