feature_label,linear,mlp
vision_mean_layer_-1,0.5310489766081872,0.5576589912280702
vision_mean_layer_12,0.5478671940267335,0.5
lm_visual_lasttok_layer_-1,0.4904600041771094,0.5
lm_visual_lasttok_layer_16,0.5046988565162908,0.5
lm_visual_mean_layer_-1,0.4868504594820384,0.455734257518797
lm_visual_mean_layer_16,0.4790536236424395,0.5343631213450293
lm_answer_lasttok_layer_-1,0.5685406223893066,0.5
lm_answer_lasttok_layer_16,0.6477166875522139,0.5
lm_answer_mean_layer_-1,0.6329979897660818,0.5
lm_answer_mean_layer_16,0.5669621971595655,0.5
answer_gen_entropy_max,0.7950535192147035,0.7938852339181286
answer_gen_entropy_mean,0.7602471021303259,0.7576287071846283
answer_gen_entropy_min,0.5554079208437761,0.5554175804093566
answer_gen_entropy_std,0.8112902046783625,0.8112909878863825
answer_gen_neglogp_mean,0.755327903091061,0.6398313492063492
answer_gen_neglogp_std,0.7789147347535506,0.7379947263993316
answer_gen_negp_max,0.7688246658312448,0.6119765559732665
answer_gen_negp_mean,0.7493037280701755,0.7476531171679198
answer_gen_negp_min,0.5436424394319131,0.5467227965747703
answer_gen_negp_std,0.7807808583959901,0.6852277829991645
lm_fullspan_lasttok_layer_-1,0.5013348475355055,0.5
lm_fullspan_lasttok_layer_16,0.5336065423976608,0.64562421679198
lm_fullspan_mean_layer_-1,0.5941325971177945,0.49197838345864664
lm_fullspan_mean_layer_16,0.5034717000835423,0.5
lm_question_including_lasttok_layer_-1,0.5013348475355055,0.5
lm_question_including_lasttok_layer_16,0.5336065423976608,0.64562421679198
lm_question_including_mean_layer_-1,0.6045376461988303,0.5
lm_question_including_mean_layer_16,0.611906197786132,0.5
lm_question_lasttok_layer_-1,0.4970196324143693,0.5
lm_question_lasttok_layer_16,0.5029288063909775,0.5
lm_question_mean_layer_-1,0.608156458855472,0.5173941363826232
lm_question_mean_layer_16,0.6043542449874687,0.5530742220133668
